"UserPrincipalName","DisplayName","GivenName","Surname","MailNickname","Department","EmployeeType","UsageLocation","ExtensionAttribute1","ExtensionAttribute2"
"farzana.ali@cloudschool.ink","Ms. Farzana Ali","Farzana","Ali","farzana.ali","Medical","Staff","AE","",""
"fathima.rahman@cloudschool.ink","Ms. Fathima Rahman","Fathima","Rahman","fathima.rahman","Student Support","Staff","AE","",""
"hari.prakash@cloudschool.ink","Mr. Hari Prakash","Hari","Prakash","hari.prakash","Lab","Staff","AE","",""
"harish.rangan@cloudschool.ink","Mr. Harish Rangan","Harish","Rangan","harish.rangan","Accounts","Staff","AE","",""
"jincy.thomas@cloudschool.ink","Ms. Jincy Thomas","Jincy","Thomas","jincy.thomas","Lab","Staff","AE","",""
"jithin.varghese@cloudschool.ink","Mr. Jithin Varghese","Jithin","Varghese","jithin.varghese","Student Support","Staff","AE","",""
"joel.mathew@cloudschool.ink","Mr. Joel Mathew","Joel","Mathew","joel.mathew","IT","Staff","AE","",""
"kavya.suresh@cloudschool.ink","Ms. Kavya Suresh","Kavya","Suresh","kavya.suresh","Academics","Staff","AE","",""
"keerthi.pillai@cloudschool.ink","Ms. Keerthi Pillai","Keerthi","Pillai","keerthi.pillai","Academics","Staff","AE","",""
"latha.krishnan@cloudschool.ink","Ms. Latha Krishnan","Latha","Krishnan","latha.krishnan","HR","Staff","AE","",""
"leena.mathew@cloudschool.ink","Ms. Leena Mathew","Leena","Mathew","leena.mathew","Medical","Staff","AE","",""
"manu.narayanan@cloudschool.ink","Mr. Manu Narayanan","Manu","Narayanan","manu.narayanan","Academics","Staff","AE","",""
"meera.sanjay@cloudschool.ink","Ms. Meera Sanjay","Meera","Sanjay","meera.sanjay","IT","Staff","AE","",""
"mithun.raj@cloudschool.ink","Mr. Mithun Raj","Mithun","Raj","mithun.raj","Activities","Staff","AE","",""
"naveen.das@cloudschool.ink","Mr. Naveen Das","Naveen","Das","naveen.das","Transport","Staff","AE","",""
"neethu.thomas@cloudschool.ink","Ms. Neethu Thomas","Neethu","Thomas","neethu.thomas","Administration","Staff","AE","",""
"nisha.babu@cloudschool.ink","Ms. Nisha Babu","Nisha","Babu","nisha.babu","Accounts","Staff","AE","",""
"praveen.nair@cloudschool.ink","Mr. Praveen Nair","Praveen","Nair","praveen.nair","Sports","Staff","AE","",""
"preethi.nair@cloudschool.ink","Ms. Preethi Nair","Preethi","Nair","preethi.nair","Academics","Staff","AE","",""
"priya.mohan@cloudschool.ink","Ms. Priya Mohan","Priya","Mohan","priya.mohan","HR","Staff","AE","",""
"rahul.dev@cloudschool.ink","Mr. Rahul Dev","Rahul","Dev","rahul.dev","IT","Staff","AE","",""
"rajeev.nair@cloudschool.ink","Mr. Rajeev Nair","Rajeev","Nair","rajeev.nair","Management","Staff","AE","",""
"rakesh.sharma@cloudschool.ink","Mr. Rakesh Sharma","Rakesh","Sharma","rakesh.sharma","Administration","Staff","AE","",""
"rekha.nair@cloudschool.ink","Ms. Rekha Nair","Rekha","Nair","rekha.nair","Accounts","Staff","AE","",""
"reshma.nair@cloudschool.ink","Ms. Reshma Nair","Reshma","Nair","reshma.nair","Academics","Staff","AE","",""
"riya.george@cloudschool.ink","Ms. Riya George","Riya","George","riya.george","Student Support","Staff","AE","",""
"riyaz.khan@cloudschool.ink","Mr. Riyaz Khan","Riyaz","Khan","riyaz.khan","Sports","Staff","AE","",""
"roshan.mathew@cloudschool.ink","Mr. Roshan Mathew","Roshan","Mathew","roshan.mathew","Academics","Staff","AE","",""
"santhosh.menon@cloudschool.ink","Mr. Santhosh Menon","Santhosh","Menon","santhosh.menon","Accounts","Staff","AE","",""
"shalini.krishnan@cloudschool.ink","Ms. Shalini Krishnan","Shalini","Krishnan","shalini.krishnan","Management","Staff","AE","",""
"shruthi.nair@cloudschool.ink","Ms. Shruthi Nair","Shruthi","Nair","shruthi.nair","Activities","Staff","AE","",""
"sidharth.menon@cloudschool.ink","Mr. Sidharth Menon","Sidharth","Menon","sidharth.menon","Activities","Staff","AE","",""
"sneha.iyer@cloudschool.ink","Ms. Sneha Iyer","Sneha","Iyer","sneha.iyer","Library","Staff","AE","",""
"sunil.kumar@cloudschool.ink","Mr. Sunil Kumar","Sunil","Kumar","sunil.kumar","Transport","Staff","AE","",""
"suresh.pillai@cloudschool.ink","Mr. Suresh Pillai","Suresh","Pillai","suresh.pillai","Management","Staff","AE","",""
"swetha.balakrishnan@cloudschool.ink","Ms. Swetha Balakrishnan","Swetha","Balakrishnan","swetha.balakrishnan","Student Support","Staff","AE","",""
"thomas.antony@cloudschool.ink","Mr. Thomas Antony","Thomas","Antony","thomas.antony","Operations","Staff","AE","",""
"vinod.kumar@cloudschool.ink","Mr. Vinod Kumar","Vinod","Kumar","vinod.kumar","Operations","Staff","AE","",""
"vishnu.prakash@cloudschool.ink","Mr. Vishnu Prakash","Vishnu","Prakash","vishnu.prakash","IT","Staff","AE","",""
"vivek.menon@cloudschool.ink","Mr. Vivek Menon","Vivek","Menon","vivek.menon","IT","Staff","AE","",""
